Group,Column Index,Column Name,Data type,Mean/ Mode,Standard Deviation,Max,Description
,28,Stellar Mass (Solar mass),Numerical,0.952,0.422,10.94,"Amount of matter contained in the star, measured in units of masses of the Sun"
,29,Stellar Metallicity (Solar Metallicity),Numerical,1.119,0.456,3.631,"Measurement of the metal content of the photosphere of the star as compared to the hydrogen content, relative to the Sun's photosphere content ratio"
,30,Stellar Luminosity (log10(Solar)),Numerical,-0.117,0.751,3.8,"Amount of energy emitted by a star per unit time, measured in units of solar luminosities"
,31,Stellar Surface Gravity (log10(m/s^2)),Numerical,2.375,0.432,5.92,Gravitational acceleration experienced at the stellar surface
,32,Stellar Age (Gyr),Numerical,4.377,3.08,14.9,"The age of the host star, measured in billions of years"
,33,Stellar Density (g/cm**3),Numerical,3.094,6.12,79.807,Amount of mass per unit of volume of the star
,34,Stellar Rotational Period (days),Numerical,36.719,56.841,746,"The time required for the planet host star to complete one rotation, assuming it is a solid body"
,35,Systemic Radial Velocity (km/s),Numerical,-1.378,32.361,244.99,Velocity of the star in the direction of the line of sight from Earth to the object
System Data,36,Total Proper Motion (mas/yr),Numerical,105.624,356.552,8644.905,"Angular change in position over time as seen from the center of mass of the Solar System, measured in units of milliarcseconds/year"
,37,Distance (ly),Numerical,2275.267,3616.649,27723.26,Distance to the planetary system in units of lightyears
,38,RA,Numerical,236.821,90.218,359.975,Right Ascension of the planetary system in decimal degrees
,39,Dec,Numerical,19.605,35.827,85.737,Declination of the planetary system in decimal degrees
Photometry (of the system as a whole),40,U,Numerical,16.301,1.656,23.306,"Brightness of the host star as measured using the Sloan Digital Sky Survey (SDSS) u band, in units of magnitudes"
,41,B,Numerical,13.418,3.123,21.084,"Brightness of the host star as measured using the B (Johnson) band, in units of magnitudes"
,42,G,Numerical,14.752,1.538,19.624,"Brightness of the host star as measured using the Sloan Digital Sky Survey (SDSS) g band, in units of magnitudes"
,43,V,Numerical,12.634,3.099,44.61,"Brightness of the host star as measured using the V (Johnson) band, in units of magnitudes"
,44,R,Numerical,14.038,1.474,17.996,"Brightness of the host star as measured using the Sloan Digital Sky Survey (SDSS) r band, in units of magnitudes"
,45,I,Numerical,13.864,1.412,17.911,"Brightness of the host star as measured using the Sloan Digital Sky Survey (SDSS) i band, in units of magnitudes"
,46,Z,Numerical,13.85,1.235,17.026,"Brightness of the host star as measured using the Sloan Digital Sky Survey (SDSS) z band, in units of magnitudes"
,47,J,Numerical,10.986,2.974,25.34,"Brightness of the host star as measured using the J (2MASS) band, in units of magnitudes"
,48,H,Numerical,10.615,3.021,32.34,"Brightness of the host star as measured using the H (2MASS) band, in units of magnitudes"
,49,K,Numerical,10.501,3.031,33.11,"Brightness of the host star as measured using the K (2MASS) band in, units of magnitudes"
,50,W1,Numerical,10.52,2.953,16.549,"Brightness of the host star as measured using the 3.4um (WISE) band, in units of magnitudes."
,51,W2,Numerical,10.54,2.987,16.038,"Brightness of the host star as measured using the 4.6um (WISE) band, in units of magnitudes."
,52,W3,Numerical,10.335,2.732,13.444,"Brightness of the host star as measured using the 12.um (WISE) band, in units of magnitudes"
,53,W4,Numerical,8.335,1.619,10.081,"Brightness of the host star as measured using the 22.um (WISE) band, in units of magnitudes"
