Group,Column Index,Column Name,Data type,Mean/ Mode,Standard Deviation,Max,Description
Stellar Data,25,Spectral Type,Categorical,G0 V,-,-,Classification of the star based on their spectral characteristics following the Morgan-Keenan system
,26,Stellar Effective Temperature (K),Numerical,5403.262,970.953,29564,Temperature of the star as modeled by a black body emitting the same total amount of electromagnetic radiation
,27,Stellar Radius (Solar Radius),Numerical,1.606,4.388,109.46,"Length of a line segment from the center of the star to its surface, measured in units of radius of the Sun"
,28,Stellar Mass (Solar mass),Numerical,0.983,0.393,10.94,"Amount of matter contained in the star, measured in units of masses of the Sun"
,29,Stellar Metallicity (Solar Metallicity),Numerical,1.125,0.457,3.631,"Measurement of the metal content of the photosphere of the star as compared to the hydrogen content, relative to the Sun's photosphere content ratio"
,30,Stellar Luminosity (log10(Solar)),Numerical,-0.08,0.726,3.46,"Amount of energy emitted by a star per unit time, measured in units of solar luminosities"
,31,Stellar Surface Gravity (log10(m/s^2)),Numerical,2.362,0.444,3.52,Gravitational acceleration experienced at the stellar surface
,32,Stellar Age (Gyr),Numerical,4.453,3.066,14.9,"The age of the host star, measured in billions of years"
,33,Stellar Density (g/cm**3),Numerical,3.124,6.826,107.449,Amount of mass per unit of volume of the star
,34,Stellar Rotational Period (days),Numerical,60.22,371.064,7900,"The time required for the planet host star to complete one rotation, assuming it is a solid body"
,35,Systemic Radial Velocity (km/s),Numerical,-2.341,32.408,244.99,Velocity of the star in the direction of the line of sight from Earth to the object
System Data,36,Total Proper Motion (mas/yr),Numerical,102.264,357.491,8644.905,"Angular change in position over time as seen from the center of mass of the Solar System, measured in units of milliarcseconds/year"
,37,Distance (ly),Numerical,1773.786,1600.647,14621.737,Distance to the planetary system in units of lightyears
,38,RA,Numerical,240.824,89.165,359.975,Right Ascension of the planetary system in decimal degrees
,39,Dec,Numerical,23.958,34.458,85.737,Declination of the planetary system in decimal degrees
Photometry (of the system as a whole),40,U,Numerical,16.285,1.647,23.306,"Brightness of the host star as measured using the Sloan Digital Sky Survey (SDSS) u band, in units of magnitudes"
,41,B,Numerical,13.46,3.132,19.474,"Brightness of the host star as measured using the B (Johnson) band, in units of magnitudes"
,42,G,Numerical,14.782,1.513,19.624,"Brightness of the host star as measured using the Sloan Digital Sky Survey (SDSS) g band, in units of magnitudes"
,43,V,Numerical,12.65,3.057,20.154,"Brightness of the host star as measured using the V (Johnson) band, in units of magnitudes"
,44,R,Numerical,14.08,1.448,17.996,"Brightness of the host star as measured using the Sloan Digital Sky Survey (SDSS) r band, in units of magnitudes"
,45,I,Numerical,13.921,1.377,19.308,"Brightness of the host star as measured using the Sloan Digital Sky Survey (SDSS) i band, in units of magnitudes"
,46,Z,Numerical,13.898,1.208,16.04,"Brightness of the host star as measured using the Sloan Digital Sky Survey (SDSS) z band, in units of magnitudes"
,47,J,Numerical,11.059,3.008,15.453,"Brightness of the host star as measured using the J (2MASS) band, in units of magnitudes"
,48,H,Numerical,10.667,3.014,15.593,"Brightness of the host star as measured using the H (2MASS) band, in units of magnitudes"
,49,K,Numerical,10.566,3.033,15.495,"Brightness of the host star as measured using the K (2MASS) band in, units of magnitudes"
,50,W1,Numerical,10.607,2.996,15.438,"Brightness of the host star as measured using the 3.4um (WISE) band, in units of magnitudes."
,51,W2,Numerical,10.633,3.029,15.983,"Brightness of the host star as measured using the 4.6um (WISE) band, in units of magnitudes."
,52,W3,Numerical,10.422,2.758,13.444,"Brightness of the host star as measured using the 12.um (WISE) band, in units of magnitudes"
,53,W4,Numerical,8.372,1.613,10.081,"Brightness of the host star as measured using the 22.um (WISE) band, in units of magnitudes"
